Id,Name,Overall,Potential,Role,Position,Age,Nationality,CountryCode,Club,Value,Wage,Pace,Shot,Pass,Dribble,Defend,Physical
0,Cristiano Ronaldo,94,94,Attacker,LW,32,Portugal,Portugal,Real Madrid CF,95.5M,565K,90,93,82,90,33,80
1,L. Messi,93,93,Attacker,RW,30,Argentina,Argentina,FC Barcelona,105M,565K,89,90,86,96,26,61
2,Neymar,92,94,Attacker,LW,25,Brazil,Brazil,Paris Saint-Germain,123M,280K,92,84,79,95,30,60
3,L. Suárez,92,92,Attacker,ST,30,Uruguay,Uruguay,FC Barcelona,97M,510K,82,90,79,86,42,81
4,M. Neuer,92,92,Goalkeeper,GK,31,Germany,Germany,FC Bayern Munich,61M,230K,91,90,95,89,60,91
5,R. Lewandowski,91,91,Attacker,ST,28,Poland,Poland,FC Bayern Munich,92M,355K,81,88,75,85,38,82
6,De Gea,90,92,Goalkeeper,GK,26,Spain,Spain,Manchester United,64.5M,215K,90,85,87,90,58,86
7,E. Hazard,90,91,Attacker,LW,26,Belgium,Belgium,Chelsea,90.5M,295K,90,82,84,93,32,66
8,T. Kroos,90,90,Midfielder,CM,27,Germany,Germany,Real Madrid CF,79M,340K,56,81,88,81,73,70
9,G. Higuaín,90,90,Attacker,ST,29,Argentina,Argentina,Juventus,77M,275K,79,87,70,83,25,74
10,Sergio Ramos,90,90,Defender,CB,31,Spain,Spain,Real Madrid CF,52M,310K,76,63,71,71,88,83
11,K. De Bruyne,89,92,Midfielder,CAM,26,Belgium,Belgium,Manchester City,83M,285K,75,84,88,85,45,75
12,T. Courtois,89,92,Goalkeeper,GK,25,Belgium,Belgium,Chelsea,59M,190K,85,91,69,88,49,86
13,A. Sánchez,89,89,Midfielder,LM,28,Chile,Chile,Arsenal,67.5M,265K,86,84,80,89,40,78
14,L. Modrić,89,89,Midfielder,CM,31,Croatia,Croatia,Real Madrid CF,57M,340K,73,75,86,89,72,65
15,G. Bale,89,89,Attacker,RW,27,Wales,Wales,Real Madrid CF,69.5M,370K,94,87,84,86,57,76
16,S. Agüero,89,89,Attacker,ST,29,Argentina,Argentina,Manchester City,66.5M,325K,87,88,75,89,23,72
17,G. Chiellini,89,89,Defender,CB,32,Italy,Italy,Juventus,38M,225K,74,46,56,58,90,85
18,G. Buffon,89,89,Goalkeeper,GK,39,Italy,Italy,Juventus,4.5M,110K,89,88,74,84,46,90
19,P. Dybala,88,93,Midfielder,CAM,23,Argentina,Argentina,Juventus,79M,215K,86,85,81,92,24,67
20,J. Oblak,88,93,Goalkeeper,GK,24,Slovenia,Slovenia,Atlético Madrid,57M,82K,84,90,77,84,52,87
21,A. Griezmann,88,91,Attacker,ST,26,France,France,Atlético Madrid,75M,150K,86,85,78,87,30,68
22,Thiago,88,90,Midfielder,CM,26,Spain,Spain,FC Bayern Munich,70.5M,225K,72,75,85,90,62,63
23,P. Aubameyang,88,88,Attacker,ST,28,Gabon,Gabon,Borussia Dortmund,61M,165K,96,84,75,81,37,71
24,L. Bonucci,88,88,Defender,CB,30,Italy,Italy,Milan,44M,210K,68,54,70,69,87,81
25,J. Boateng,88,88,Defender,CB,28,Germany,Germany,FC Bayern Munich,48M,215K,75,50,72,67,88,84
26,D. Godín,88,88,Defender,CB,31,Uruguay,Uruguay,Atlético Madrid,40M,125K,65,48,65,62,88,78
27,M. Hummels,88,88,Defender,CB,28,Germany,Germany,FC Bayern Munich,48M,215K,64,58,75,70,89,76
28,M. Özil,88,88,Midfielder,CAM,28,Germany,Germany,Arsenal,60M,265K,71,74,87,86,24,58
29,H. Lloris,88,88,Goalkeeper,GK,30,France,France,Tottenham Hotspur,38M,165K,88,86,68,90,64,82
30,Thiago Silva,88,88,Defender,CB,32,Brazil,Brazil,Paris Saint-Germain,34M,175K,72,56,73,73,88,79
31,Z. Ibrahimović,88,88,Attacker,ST,35,Sweden,Sweden,Manchester United,27M,240K,65,88,81,82,31,82
32,A. Robben,88,88,Midfielder,RM,33,Netherlands,Netherlands,FC Bayern Munich,36M,225K,86,86,81,91,32,63
33,N. Kanté,87,90,Midfielder,CDM,26,France,France,Chelsea,52.5M,190K,81,66,75,79,81,84
34,M. Verratti,87,91,Midfielder,CM,24,Italy,Italy,Paris Saint-Germain,64.5M,130K,65,59,84,89,79,68
35,P. Pogba,87,92,Midfielder,CM,24,France,France,Manchester United,66.5M,195K,74,79,84,85,68,88
36,C. Eriksen,87,91,Midfielder,CAM,25,Denmark,Denmark,Tottenham Hotspur,65M,165K,75,78,88,84,47,63
37,A. Vidal,87,87,Midfielder,CDM,30,Chile,Chile,FC Bayern Munich,37.5M,160K,75,81,80,78,83,84
38,E. Cavani,87,87,Attacker,ST,30,Uruguay,Uruguay,Paris Saint-Germain,48.5M,160K,77,83,72,79,42,81
39,Marcelo,87,87,Defender,LB,29,Brazil,Brazil,Real Madrid CF,38M,250K,78,69,80,85,82,79
40,M. Hamšík,87,87,Midfielder,CM,29,Slovakia,Slovakia,Napoli,48.5M,130K,74,80,84,84,68,70
41,I. Rakitić,87,87,Midfielder,CM,29,Croatia,Croatia,FC Barcelona,48.5M,275K,65,84,86,83,60,66
42,David Silva,87,87,Midfielder,CAM,31,Spain,Spain,Manchester City,44M,220K,68,72,87,87,38,61
43,S. Handanovič,87,87,Goalkeeper,GK,32,Slovenia,Slovenia,Inter,29M,91K,87,86,69,87,56,87
44,Piqué,87,87,Defender,CB,30,Spain,Spain,FC Barcelona,37.5M,240K,65,61,69,65,86,76
45,Iniesta,87,87,Midfielder,CM,33,Spain,Spain,FC Barcelona,29.5M,260K,71,70,87,90,58,58
46,H. Kane,86,90,Attacker,ST,23,England,England,Tottenham Hotspur,59M,165K,71,87,72,78,42,83
47,J. Rodríguez,86,89,Midfielder,CAM,25,Colombia,Colombia,FC Bayern Munich,56M,250K,76,85,85,83,40,68
48,Isco,86,90,Midfielder,CM,25,Spain,Spain,Real Madrid CF,56.5M,250K,71,83,82,89,54,62
49,D. Alaba,86,88,Defender,LB,25,Austria,Austria,FC Bayern Munich,44.5M,150K,86,73,81,80,82,74
50,R. Lukaku,86,90,Attacker,ST,24,Belgium,Belgium,Manchester United,59M,210K,83,85,70,73,34,84
51,Alex Sandro,86,88,Defender,LB,26,Brazil,Brazil,Juventus,44M,175K,86,65,77,81,81,84
52,T. Müller,86,86,Attacker,CF,27,Germany,Germany,FC Bayern Munich,47.5M,190K,77,82,77,77,46,71
53,Sergio Busquets,86,86,Midfielder,CDM,28,Spain,Spain,FC Barcelona,36M,250K,40,59,79,74,82,81
54,Coutinho,86,89,Attacker,LW,25,Brazil,Brazil,Liverpool,56M,205K,82,78,83,89,35,64
55,M. Reus,86,86,Midfielder,LM,28,Germany,Germany,Borussia Dortmund,45M,120K,88,87,84,85,39,64
56,T. Alderweireld,86,87,Defender,CB,28,Belgium,Belgium,Tottenham Hotspur,40.5M,165K,66,58,72,64,87,80
57,David Luiz,86,86,Defender,CB,30,Brazil,Brazil,Chelsea,33M,190K,70,64,74,71,84,81
58,Diego Costa,86,86,Attacker,ST,28,Spain,Spain,Chelsea,46M,235K,75,83,65,76,40,88
59,R. Nainggolan,86,86,Midfielder,CM,29,Belgium,Belgium,Roma,42.5M,130K,78,80,78,82,81,83
60,Javi Martínez,86,86,Defender,CB,28,Spain,Spain,FC Bayern Munich,36M,165K,50,60,69,64,86,80
61,D. Mertens,86,86,Attacker,CF,30,Belgium,Belgium,Napoli,43M,135K,90,82,79,89,36,55
62,Sokratis,86,86,Defender,CB,29,Greece,Greece,Borussia Dortmund,34.5M,110K,78,52,55,59,87,84
63,Miranda,86,86,Defender,CB,32,Brazil,Brazil,Inter,25.5M,115K,71,49,60,67,88,77
64,K. Benzema,86,86,Attacker,ST,29,France,France,Real Madrid CF,44.5M,295K,78,84,77,82,22,74
65,Cesc Fàbregas,86,86,Midfielder,CM,30,Spain,Spain,Chelsea,41M,210K,63,77,88,80,60,64
66,F. Ribéry,86,86,Midfielder,LM,34,France,France,FC Bayern Munich,22.5M,175K,82,76,83,90,25,58
67,Pepe,86,86,Defender,CB,34,Portugal,Portugal,Beşiktaş JK,13.5M,94K,68,50,57,59,86,80
68,P. Čech,86,86,Goalkeeper,GK,35,Czech Republic,Czech Republic,Arsenal,10.5M,92K,82,87,76,81,42,83
69,Y. Carrasco,85,90,Midfielder,LM,23,Belgium,Belgium,Atlético Madrid,51.5M,77K,88,79,78,88,29,63
70,R. Varane,85,92,Defender,CB,24,France,France,Real Madrid CF,46.5M,175K,79,45,61,64,84,79
71,Casemiro,85,89,Midfielder,CDM,25,Brazil,Brazil,Real Madrid CF,42M,195K,62,68,74,71,84,86
72,L. Insigne,85,86,Attacker,LW,26,Italy,Italy,Napoli,45M,115K,90,74,82,90,25,50
73,A. Lacazette,85,88,Attacker,ST,26,France,France,Arsenal,48.5M,180K,86,83,71,85,38,77
74,K. Navas,85,85,Goalkeeper,GK,30,Costa Rica,Costa Rica,Real Madrid CF,24.5M,165K,87,82,72,85,53,80
75,H. Mkhitaryan,85,85,Midfielder,RM,28,Armenia,Armenia,Manchester United,39M,195K,86,79,80,87,54,70
76,D. Subašić,85,85,Goalkeeper,GK,32,Croatia,Croatia,AS Monaco,22M,46K,84,79,79,87,53,85
77,B. Leno,85,88,Goalkeeper,GK,25,Germany,Germany,Bayer 04 Leverkusen,34M,61K,85,84,74,83,49,85
78,M. ter Stegen,85,89,Goalkeeper,GK,25,Germany,Germany,FC Barcelona,35.5M,155K,84,83,87,86,45,81
79,K. Glik,85,85,Defender,CB,29,Poland,Poland,AS Monaco,30M,60K,56,32,44,52,86,84
80,Jordi Alba,85,85,Defender,LB,28,Spain,Spain,FC Barcelona,30.5M,215K,93,69,75,82,81,72
81,I. Gündoğan,85,87,Midfielder,CM,26,Germany,Germany,Manchester City,46M,190K,71,74,83,87,64,71
82,Azpilicueta,85,87,Defender,CB,27,Spain,Spain,Chelsea,37.5M,160K,79,55,74,73,86,78
83,A. Di María,85,85,Attacker,RW,29,Argentina,Argentina,Paris Saint-Germain,37.5M,145K,86,77,82,86,47,68
84,M. Pjanić,85,86,Midfielder,CM,27,Bosnia Herzegovina,Bosnia Herzegovina,Juventus,43.5M,160K,74,70,86,86,67,69
85,C. Marchisio,85,85,Midfielder,CM,31,Italy,Italy,Juventus,33M,160K,78,72,83,84,76,74
86,J. Vertonghen,85,85,Defender,CB,30,Belgium,Belgium,Tottenham Hotspur,28.5M,130K,67,65,73,69,85,81
87,B. Matuidi,85,85,Midfielder,CDM,30,France,France,Juventus,28.5M,145K,78,67,77,75,82,84
88,S. Ruffier,85,85,Goalkeeper,GK,30,France,France,AS Saint-Étienne,24.5M,49K,82,84,77,87,48,85
89,Filipe Luís,85,85,Defender,LB,31,Brazil,Brazil,Atlético Madrid,25M,81K,79,62,77,77,82,79
90,V. Kompany,85,85,Defender,CB,31,Belgium,Belgium,Manchester City,26M,170K,63,54,65,63,84,83
91,A. Barzagli,85,85,Defender,CB,36,Italy,Italy,Juventus,5M,105K,71,34,57,63,88,73
92,E. Bailly,84,89,Defender,CB,23,Ivory Coast,Ivory Coast,Manchester United,35.5M,150K,78,42,59,65,84,84
93,Marco Asensio,84,92,Midfielder,CAM,21,Spain,Spain,Real Madrid CF,46M,175K,78,82,83,83,39,61
94,Bernardo Silva,84,91,Midfielder,RM,22,Portugal,Portugal,Manchester City,43.5M,165K,81,72,81,90,45,61
95,A. Laporte,84,89,Defender,CB,23,France,France,Athletic Club de Bilbao,35.5M,36K,69,50,66,60,86,78
96,D. Alli,84,90,Midfielder,CAM,21,England,England,Tottenham Hotspur,43M,115K,76,81,77,82,64,78
97,S. Mané,84,87,Attacker,RW,25,Senegal,Senegal,Liverpool,39M,175K,93,78,74,86,36,75
98,Carvajal,84,87,Defender,RB,25,Spain,Spain,Real Madrid CF,32M,195K,82,45,73,79,82,78
99,J. Draxler,84,87,Attacker,LW,23,Germany,Germany,Paris Saint-Germain,39.5M,120K,78,80,82,86,34,64
100,M. Icardi,84,89,Attacker,ST,24,Argentina,Argentina,Inter,42M,105K,78,83,61,75,26,70
101,Morata,84,88,Attacker,ST,24,Spain,Spain,Chelsea,41M,170K,82,80,71,80,23,73
102,K. Koulibaly,84,87,Defender,CB,26,Senegal,Senegal,Napoli,32.5M,96K,73,26,43,55,85,86
103,T. Horn,84,90,Goalkeeper,GK,24,Germany,Germany,1. FC Köln,31M,39K,83,81,83,86,48,82
104,Koke,84,88,Midfielder,CM,25,Spain,Spain,Atlético Madrid,39.5M,84K,70,75,86,82,63,75
105,K. Manolas,84,86,Defender,CB,26,Greece,Greece,Roma,31.5M,96K,80,19,42,60,86,83
106,S. Mustafi,84,86,Defender,CB,25,Germany,Germany,Arsenal,31.5M,145K,67,57,63,61,83,79
107,Ander Herrera,84,84,Midfielder,CM,27,Spain,Spain,Manchester United,32M,190K,73,72,81,83,78,77
108,K. Strootman,84,85,Midfielder,CM,27,Netherlands,Netherlands,Roma,35M,105K,67,74,82,78,78,82
109,Pedro,84,84,Attacker,RW,29,Spain,Spain,Chelsea,30.5M,200K,82,77,77,85,37,62
110,R. Bürki,84,86,Goalkeeper,GK,26,Switzerland,Switzerland,Borussia Dortmund,26M,69K,84,82,73,85,48,80
111,Bruno,84,84,Midfielder,CM,33,Spain,Spain,Villarreal CF,18.5M,59K,41,72,79,75,78,77
112,I. Perišić,84,84,Midfielder,LM,28,Croatia,Croatia,Inter,31.5M,110K,84,80,78,82,42,75
113,E. Džeko,84,84,Attacker,ST,31,Bosnia Herzegovina,Bosnia Herzegovina,Roma,28M,115K,64,83,70,74,32,72
114,Willian,84,84,Attacker,RW,28,Brazil,Brazil,Chelsea,31.5M,200K,88,76,81,87,49,64
115,S. Khedira,84,84,Midfielder,CM,30,Germany,Germany,Juventus,29M,160K,64,74,80,76,80,84
116,R. Fährmann,84,85,Goalkeeper,GK,28,Germany,Germany,FC Schalke 04,25M,54K,83,86,52,87,43,85
117,Sergio Asenjo,84,85,Goalkeeper,GK,28,Spain,Spain,Villarreal CF,25M,46K,86,83,76,85,56,82
118,Juan Mata,84,84,Midfielder,CAM,29,Spain,Spain,Manchester United,30.5M,195K,67,76,84,84,32,54
119,M. Benatia,84,84,Defender,CB,30,Morocco,Morocco,Juventus,23M,145K,74,42,54,63,85,82
120,D. Payet,84,84,Attacker,LW,30,France,France,Olympique de Marseille,29.5M,60K,75,78,86,88,37,70
121,Falcao,84,84,Attacker,ST,31,Colombia,Colombia,AS Monaco,28M,68K,69,84,68,78,36,74
122,L. Koscielny,84,84,Defender,CB,31,France,France,Arsenal,21M,150K,75,41,62,64,85,78
123,G. Cahill,84,84,Defender,CB,31,England,England,Chelsea,21M,160K,63,58,52,60,84,78
124,Dani Alves,84,84,Defender,RB,34,Brazil,Brazil,Paris Saint-Germain,9M,115K,82,68,81,85,77,66
125,A. Gómez,84,84,Attacker,CF,29,Argentina,Argentina,Atalanta,31M,60K,90,77,80,89,31,58
126,Aduriz,84,84,Attacker,ST,36,Spain,Spain,Athletic Club de Bilbao,11M,38K,70,83,64,76,46,79
127,K. Mbappé,83,94,Attacker,ST,18,France,France,Paris Saint-Germain,41.5M,31K,90,80,74,85,47,74
128,O. Dembélé,83,92,Attacker,RW,20,France,France,FC Barcelona,40M,150K,91,76,75,89,32,56
129,N. Keïta,83,88,Midfielder,CM,22,Guinea,Guinea,RB Leipzig,34M,68K,73,71,77,89,62,70
130,J. Giménez,83,87,Defender,CB,22,Uruguay,Uruguay,Atlético Madrid,28.5M,53K,70,45,51,51,85,81
131,G. Rulli,83,89,Goalkeeper,GK,25,Argentina,Argentina,Real Sociedad,25.5M,28K,85,79,75,86,51,82
132,T. Lemar,83,91,Midfielder,LM,21,France,France,AS Monaco,38.5M,37K,85,78,80,87,62,70
133,João Mário,83,88,Midfielder,CM,24,Portugal,Portugal,Inter,34M,70K,73,70,80,83,70,71
134,N. Süle,83,89,Defender,CB,21,Germany,Germany,FC Bayern Munich,30.5M,78K,65,41,51,48,83,81
135,Ederson,83,89,Goalkeeper,GK,23,Brazil,Brazil,Manchester City,26M,87K,81,76,82,87,63,78
136,Fabinho,83,88,Midfielder,CDM,23,Brazil,Brazil,AS Monaco,29.5M,37K,74,65,76,76,83,83
137,M. Salah,83,86,Attacker,RW,25,Egypt,Egypt,Liverpool,32.5M,135K,93,73,74,87,45,66
138,A. Belotti,83,90,Attacker,ST,23,Italy,Italy,Torino,37M,58K,82,81,57,78,29,84
139,E. Forsberg,83,85,Midfielder,CAM,25,Sweden,Sweden,RB Leipzig,31.5M,75K,75,74,83,83,29,66
140,Marquinhos,83,89,Defender,CB,23,Brazil,Brazil,Paris Saint-Germain,30.5M,75K,71,38,68,69,84,76
141,William Carvalho,83,86,Midfielder,CDM,25,Portugal,Portugal,Sporting CP,27.5M,21K,53,57,77,74,80,83
142,S. Umtiti,83,88,Defender,CB,23,France,France,FC Barcelona,29.5M,135K,74,64,71,71,82,79
143,R. Mahrez,83,84,Midfielder,RM,26,Algeria,Algeria,Leicester City,30.5M,88K,82,74,78,88,28,55
144,V. van Dijk,83,86,Defender,CB,25,Netherlands,Netherlands,Southampton,27.5M,89K,73,60,67,69,83,85
145,Roberto Firmino,83,87,Attacker,ST,25,Brazil,Brazil,Liverpool,34M,135K,77,81,79,86,46,77
146,Danilo Pereira,83,86,Midfielder,CDM,25,Portugal,Portugal,FC Porto,27.5M,18K,68,62,69,74,82,87
147,Vitolo,83,83,Midfielder,LM,27,Spain,Spain,UD Las Palmas,27M,68K,80,77,79,83,28,76
148,A. Lopes,83,86,Goalkeeper,GK,26,Portugal,Portugal,Olympique Lyonnais,22.5M,60K,86,81,71,85,62,79
149,S. de Vrij,83,88,Defender,CB,25,Netherlands,Netherlands,Lazio,29M,56K,68,41,58,64,85,76
150,M. Perin,83,88,Goalkeeper,GK,24,Italy,Italy,Genoa,25M,28K,80,85,71,90,56,78
151,J. Matip,83,85,Defender,CB,25,Cameroon,Cameroon,Liverpool,26.5M,110K,67,46,68,66,84,78
152,I. Gueye,83,84,Midfielder,CDM,27,Senegal,Senegal,Everton,24.5M,115K,76,60,70,77,83,81
153,Iago Aspas,83,83,Attacker,ST,29,Spain,Spain,RC Celta de Vigo,26M,39K,81,83,73,85,29,63
154,N. Otamendi,83,83,Defender,CB,29,Argentina,Argentina,Manchester City,20M,140K,63,56,59,53,83,81
155,N. Matić,83,83,Midfielder,CDM,28,Serbia,Serbia,Manchester United,21M,140K,64,70,76,72,80,87
156,J. Pastore,83,83,Midfielder,CM,28,Argentina,Argentina,Paris Saint-Germain,25.5M,100K,71,75,83,85,58,64
157,Parejo,83,83,Midfielder,CM,28,Spain,Spain,Valencia CF,25.5M,45K,52,77,87,79,61,69
158,S. Kagawa,83,83,Midfielder,CAM,28,Japan,Japan,Borussia Dortmund,26M,75K,70,68,76,87,34,49
159,G. Bonaventura,83,83,Midfielder,CM,27,Italy,Italy,Milan,26.5M,115K,78,77,82,83,67,73
160,B. Dost,83,83,Attacker,ST,28,Netherlands,Netherlands,Sporting CP,27M,28K,60,83,57,63,43,83
161,K. Walker,83,84,Defender,RB,27,England,England,Manchester City,24M,130K,90,63,73,76,80,81
162,Oscar,83,86,Midfielder,CAM,25,Brazil,Brazil,,0,0,74,75,79,82,43,46
163,S. N'Zonzi,83,83,Midfielder,CDM,28,France,France,Sevilla FC,21M,25K,57,67,73,71,80,88
164,M. Musacchio,83,86,Defender,CB,26,Argentina,Argentina,Milan,27M,105K,70,51,66,57,84,78
165,O. Toprak,83,84,Defender,CB,27,Turkey,Turkey,Borussia Dortmund,24.5M,66K,76,39,62,67,85,75
